source_index,target_index,source_entity,target_entity,type,count
C0013687,C0032225,effusion,pleural,located_at,20502
C0700321,C0013687,small,effusion,modify,8027
C0449911,C0817096,view,chest,located_at,7092
C0443246,C0032225,left,pleural,modify,6825
C0013604,C0024109,edema,pulmonary,located_at,8280
C0205090,C0024109,right,lung,modify,5430
C0205251,C0449468,low,volumes,modify,4822
C0443246,C0024109,left,lung,modify,4806
C0449468,C0024109,volumes,lung,located_at,6393
C0029053,C0004144,opacity,atelectasis,suggestive_of,4666
C0205090,C0032225,right,pleural,modify,4603
C1306645,C0817096,radiograph,chest,located_at,5282
C0205171,C0449911,single,view,modify,4145
C0205102,jugular,internal,jugular,modify,4109
C0599554,C0175730,endotracheal,tube,modify,4052
C0205307,C0439801,normal,limits,modify,4107
C0029053,C0024109,opacity,lung,located_at,3798
cardiomediastinal,silhouette,cardiomediastinal,silhouette,located_at,4408
clear,C0024109,clear,lungs,modify,3630
C1272706,C0021102,interval,placement,modify,3494
C1547225,C0013604,mild,edema,modify,3480
C0441994,C0796494,lower,lobe,modify,3291
C0205123,C0449911,frontal,view,modify,3210
C0205099,C0042449,central,venous,modify,3138
C0029053,C0178499,opacity,base,located_at,2939
C0175730,C0817096,tube,chest,located_at,3829
C0238767,C0032225,bilateral,pleural,modify,2823
C0205090,jugular,right,jugular,modify,2788
C0204695,C0175730,feeding,tube,modify,2739
C0443246,C0817096,left,chest,modify,2657
C1272706,C0015252,interval,removal,modify,2667
C0018787,silhouette,cardiac,silhouette,located_at,2787
C0029053,bibasilar,opacities,bibasilar,located_at,3607
C0694637,C0175730,nasogastric,tube,modify,2480
C0029053,retrocardiac,opacity,retrocardiac,located_at,2523
C0024109,C0005847,pulmonary,vasculature,modify,2569
C0205090,ij,right,ij,modify,2371
C0032326,C0205111,pneumothorax,apical,located_at,2840
C1272706,C0392747,interval,change,modify,2327
C0205217,C0029053,increased,opacity,modify,2235
C0205307,silhouette,normal,silhouette,modify,2170
C0205322,C0029053,persistent,opacities,modify,2129
C0442739,C0733755,unchanged,position,modify,2099
C0700321,C0032326,small,pneumothorax,modify,2045
C0205090,C0817096,right,chest,modify,2035
C0549183,C0185792,median,sternotomy,modify,1968
C4299032,C0449911,portable,view,modify,1972
C0029053,C0521530,opacity,consolidation,suggestive_of,1942
C0205360,C0733755,stable,position,modify,1905
C0205413,C0029053,patchy,opacities,modify,1899
C1272706,C0205217,interval,increase,modify,1903
C0185792,C0005978,sternotomy,wires,located_at,2660
C0011164,C0392747,degenerative,changes,modify,1866
C0456389,C0018787,size,heart,modify,2319
C0179740,C0205132,picc,line,modify,2004
C0205090,C0205111,right,apical,modify,1846
C0443246,C1184146,left,basilar,modify,1832
C0042449,C0085590,venous,catheter,modify,2140
C0205234,C0521530,focal,consolidation,modify,1793
C0750502,C0392747,significant,change,modify,1786
C0029053,C1184146,opacity,basilar,located_at,1857
C0029053,airspace,opacities,airspace,located_at,1815
C0441994,C0024109,lower,lung,modify,1715
C0443246,C0796494,left,lobe,modify,1665
C0442739,silhouette,unchanged,silhouette,modify,1695
C0543467,C0175722,surgical,clips,modify,1656
C0085590,jugular,catheter,jugular,located_at,1949
C1282910,C0015385,upper,extremity,modify,1572
C0447122,C1413046,vena,cava,located_at,1513
C0238767,C0024109,both,lungs,modify,1507
C0443246,C0178499,left,base,modify,1505
C0205178,C0000768,acute,abnormalities,modify,1490
C0238767,C0013687,bilateral,effusions,modify,1485
C0205093,C0449911,lateral,views,modify,1475
C0262950,C0678594,osseous,structures,located_at,1470
C0184511,aeration,improved,aeration,modify,1484
C0024109,C0178499,lung,base,located_at,2077
C0817096,C0677535,chest,wall,located_at,1514
C1282910,C0796494,upper,lobe,modify,1436
C0332152,C0582103,prior,examination,modify,1400
C0205360,silhouette,stable,silhouette,modify,1395
C4299032,C1306645,portable,radiograph,modify,1391
C0029053,C0796494,opacity,lobe,located_at,1387
C1282910,C0447122,superior,vena,modify,1372
ap,C0449911,ap,view,modify,1362
C0016658,C0035561,fractures,rib,located_at,1394
blunting,C0205143,blunting,angle,located_at,1313
C0521530,C0024109,consolidation,lung,located_at,1355
C0205090,C0018792,right,atrium,modify,1289
C1272706,C0392756,interval,decrease,modify,1299
C1521721,C0025080,support,devices,modify,1279
C0000768,C0443157,abnormalities,bony,located_at,1288
C0443246,C0205111,left,apical,modify,1239
C0442800,silhouette,enlarged,silhouette,modify,1266
C0024109,C0003842,pulmonary,artery,located_at,1241
C0205358,C0040300,soft,tissues,modify,1218
C0205081,C0013687,moderate,effusion,modify,1196
C0442739,C0175730,unchanged,tubes,modify,1275
C0443246,C0589488,left,subclavian,modify,1178
C0392747,C0037949,changes,spine,located_at,1148
slightly,C0205217,slightly,increased,modify,1142
C0205090,C1184146,right,basilar,modify,1140
C0205090,C1282910,right,upper,modify,1144
C0205360,C0700364,stable,appearance,modify,1124
C0443246,costophrenic,left,costophrenic,modify,1091
C1282910,C0225594,above,carina,modify,1085
C0817096,C0037949,thoracic,spine,located_at,1061
C0443246,retrocardiac,left,retrocardiac,modify,1045
C0000768,C0262950,abnormalities,osseous,located_at,1095
C0205090,C0796494,right,lobe,modify,1041
C0439739,C0029053,reticular,opacities,modify,1038
C0205307,C0678594,unremarkable,structures,modify,1030
C0205322,C0013687,persistent,effusion,modify,1008
postsurgical,C0392747,postsurgical,changes,modify,1002
C0549177,C0013687,large,effusion,modify,998
C0205123,C1306645,frontal,radiograph,modify,991
C0205132,C0029053,linear,opacities,modify,974
C0442739,C0029053,unchanged,opacity,modify,968
C0443246,C0934569,left,hemithorax,modify,961
C1282910,C0024109,upper,lung,modify,957
C0442739,C0013687,unchanged,effusion,modify,954
C0029053,C0013604,opacities,edema,suggestive_of,954
C0442739,C0700364,unchanged,appearance,modify,960
C0444598,C0024109,mid,lung,modify,952
C1272706,C0243107,interval,development,modify,955
C0442739,C0205132,unchanged,lines,modify,1024
C0442800,C0018787,enlarged,heart,located_at,940
C0205307,cardiomediastinal,normal,cardiomediastinal,modify,935
C0029053,C0700198,opacities,aspiration,suggestive_of,925
C4299032,C0817096,portable,chest,modify,924
C0205090,C0032326,right,pneumothorax,modify,947
